"No.","Time","Source","Destination","Protocol","Length","Info"
"205","2022-09-28 13:07:50.000922","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"206","2022-09-28 13:07:50.000929","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"207","2022-09-28 13:07:50.000931","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1433","Application Data"
"208","2022-09-28 13:07:50.001081","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=4864 Ack=173505 Win=257984 Len=0"
"209","2022-09-28 13:07:50.001110","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","[TCP Window Update] 56064 > 443 [ACK] Seq=4864 Ack=173505 Win=262144 Len=0"
"210","2022-09-28 13:07:50.003786","10.152.5.30","csweb1.cs.uchicago.edu","TLSv1.2","189","Application Data"
"211","2022-09-28 13:07:50.008023","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1422","Application Data"
"212","2022-09-28 13:07:50.008089","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=4999 Ack=174873 Win=260736 Len=0"
"213","2022-09-28 13:07:50.010428","10.152.5.30","csweb1.cs.uchicago.edu","TLSv1.2","195","Application Data"
"214","2022-09-28 13:07:50.018860","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"215","2022-09-28 13:07:50.018865","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"216","2022-09-28 13:07:50.018866","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"217","2022-09-28 13:07:50.018867","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"218","2022-09-28 13:07:50.018869","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"219","2022-09-28 13:07:50.018870","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"220","2022-09-28 13:07:50.018875","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"221","2022-09-28 13:07:50.018876","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"222","2022-09-28 13:07:50.018877","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"223","2022-09-28 13:07:50.018878","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"224","2022-09-28 13:07:50.018879","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"225","2022-09-28 13:07:50.018880","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1221","Application Data"
"226","2022-09-28 13:07:50.018882","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"227","2022-09-28 13:07:50.018883","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"228","2022-09-28 13:07:50.018884","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"229","2022-09-28 13:07:50.018898","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"230","2022-09-28 13:07:50.018899","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"231","2022-09-28 13:07:50.018900","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"232","2022-09-28 13:07:50.018987","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5140 Ack=181803 Win=255168 Len=0"
"233","2022-09-28 13:07:50.019120","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5140 Ack=199602 Win=262144 Len=0"
"234","2022-09-28 13:07:50.020157","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","131","Application Data"
"235","2022-09-28 13:07:50.020235","10.152.5.30","csweb1.cs.uchicago.edu","TCP","54","56064 > 443 [ACK] Seq=5140 Ack=199679 Win=262144 Len=0"
"236","2022-09-28 13:07:50.024219","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"237","2022-09-28 13:07:50.024225","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"238","2022-09-28 13:07:50.024227","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"239","2022-09-28 13:07:50.024229","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"240","2022-09-28 13:07:50.024231","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"241","2022-09-28 13:07:50.024233","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"242","2022-09-28 13:07:50.024234","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"243","2022-09-28 13:07:50.024236","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"244","2022-09-28 13:07:50.024238","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"245","2022-09-28 13:07:50.024240","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"246","2022-09-28 13:07:50.024241","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"247","2022-09-28 13:07:50.024243","csweb1.cs.uchicago.edu","10.152.5.30","TLSv1.2","1221","Application Data"
"248","2022-09-28 13:07:50.024244","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"249","2022-09-28 13:07:50.024246","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
"250","2022-09-28 13:07:50.024248","csweb1.cs.uchicago.edu","10.152.5.30","TCP","1440","[TCP segment of a reassembled PDU]"
